date,sales,units_sold,region,channel,marketing_spend
2025-01-01,1024.84,87,East,Online,323.05
2025-01-02,1112.58,115,West,Retail,780.8
2025-01-03,1183.07,115,East,Online,626.57
2025-01-04,1147.9,98,West,Online,319.7
2025-01-05,932.1,112,North,Online,641.75
2025-01-06,853.17,74,West,Online,517.9
2025-01-07,975.02,96,North,Online,624.34
2025-01-08,1053.93,122,West,Online,660.67
2025-01-09,1111.58,115,West,Online,252.37
2025-01-10,1193.37,107,South,Online,503.66
2025-01-11,1064.13,107,North,Retail,759.21
2025-01-12,936.08,78,South,Online,392.39
2025-01-13,892.53,94,North,Online,556.33
2025-01-14,815.95,74,South,Retail,421.54
2025-01-15,944.87,99,East,Retail,472.56
2025-01-16,1122.49,99,West,Online,529.16
2025-01-17,1131.15,110,North,Online,529.35
2025-01-18,1118.57,136,North,Retail,321.04
2025-01-19,929.52,114,West,Online,610.74
2025-01-20,825.37,97,North,Retail,252.72
2025-01-21,1000.45,124,North,Retail,283.29
2025-01-22,1035.38,125,South,Online,201.63
2025-01-23,1169.54,109,North,Online,270.02
2025-01-24,1126.11,111,East,Retail,483.9
2025-01-25,1091.2,99,East,Online,563.66
2025-01-26,996.02,85,West,Online,676.57
2025-01-27,853.99,83,North,Retail,264.02
2025-01-28,961.51,88,West,Retail,710.44
2025-01-29,1032.19,94,East,Retail,647.58
2025-01-30,1167.13,123,North,Retail,445.11
2025-01-31,1182.82,132,North,Retail,759.76
2025-02-01,1226.59,139,West,Retail,794.56
2025-02-02,1005.35,112,East,Retail,323.0
2025-02-03,874.21,96,North,Retail,427.54
2025-02-04,999.41,113,West,Online,755.87
2025-02-05,1016.74,88,East,Online,632.96
2025-02-06,1207.72,110,West,Retail,228.86
2025-02-07,1130.48,138,South,Retail,668.91
2025-02-08,1083.12,119,North,Retail,696.76
2025-02-09,1031.43,128,South,Retail,650.3
2025-02-10,979.57,98,East,Retail,679.72
2025-02-11,982.4,99,South,Online,695.08
2025-02-12,1087.55,96,South,Online,311.84
2025-02-13,1197.78,130,East,Online,341.42
2025-02-14,1170.09,104,West,Online,580.26
2025-02-15,1129.09,95,South,Online,744.72
2025-02-16,1014.11,121,West,Retail,389.72
2025-02-17,1011.06,91,South,Online,552.98
2025-02-18,1006.57,97,West,Retail,609.79
2025-02-19,1020.74,103,East,Online,471.17
2025-02-20,1244.59,129,South,Retail,628.27
2025-02-21,1240.32,111,East,Online,739.8
2025-02-22,1146.79,109,South,Online,574.46
2025-02-23,1083.28,97,East,Online,523.87
2025-02-24,1025.31,88,East,Retail,463.25
2025-02-25,1051.51,100,South,Online,546.49
2025-02-26,1082.48,91,South,Retail,413.22
2025-02-27,1228.48,118,South,Online,434.89
2025-02-28,1291.69,122,North,Online,519.11
